,Year,Month,Demand_A,Demand_B
0,2020,0,840.0,760.0
1,2020,1,938.5022499512669,753.0322161624401
2,2020,2,854.3018996692111,630.255067007762
3,2020,3,878.2579266082595,590.1620732946351
4,2020,4,953.6672964808232,605.8634463507814
5,2020,5,897.888936263309,806.699566739194
6,2020,6,857.2732399345839,726.8166748381968
7,2020,7,774.752077509662,803.7080792764151
8,2020,8,792.0779283401818,897.7378424549735
9,2020,9,797.8902336720415,855.1778667404571
10,2020,10,869.7450931001601,791.4650436904307
11,2020,11,857.3085665987194,815.7445366591137
